year,Center X,Center Y
2001,101.9689864434209,36.887467844093244
2002,102.04476275707697,36.87874325247766
2003,102.02099377371712,36.88515881017184
2004,102.07179230547106,36.83570238551203
2005,102.06232989930085,36.83417758035071
2006,102.03766554702433,36.853646945332386
2007,102.01383210168139,36.87983672656856
2008,102.10650803060079,36.824460821858075
2009,102.11390610967693,36.80971710386924
2010,102.08346560007156,36.85803355042513
2011,102.0535990347902,36.85635789855099
2012,102.16124216082018,36.8247664844727
2013,102.17611438306672,36.79610795582938
2014,102.18396269682273,36.81165581927627
2015,102.14325805543349,36.81511835872079
2016,102.13170021841567,36.81818245485021
2017,102.11237278916319,36.846748942823396
2018,102.21990762411251,36.80733585523873
2019,102.19502346367575,36.821938172966426
2020,102.24807744737252,36.78808663410277
